comuna,ica,fecha,id
comuna 2,46,2024-06-23,36265
comuna 7,99,2024-01-30,20893
comuna 12,65,2024-06-25,41724
comuna 15,37,2024-01-30,23814
comuna 1,55,2024-06-25,27642
comuna 11,77,2024-06-25,17249
comuna 9,17,2024-06-23,36808
comuna 8,60,2024-07-31,14270
comuna 10,99,2024-07-31,32342
comuna 11,38,2024-07-31,18597
comuna 7,45,2024-06-23,49372
comuna 5,59,2024-06-25,12036
comuna 3,60,2024-06-25,32347
comuna 14,45,2024-07-31,2903
comuna 15,94,2024-06-23,11984
comuna 2,69,2024-06-25,1716
comuna 8,71,2024-01-30,6641
comuna 10,80,2024-06-25,43996
comuna 14,22,2024-06-23,28772
comuna 10,100,2024-01-30,44571
comuna 10,79,2024-07-31,20562
comuna 8,52,2024-06-23,32161
comuna 9,60,2024-06-23,45328
comuna 7,89,2024-07-31,36030
comuna 16,81,2024-06-25,13843
comuna 7,99,2024-07-31,38506
comuna 5,90,2024-06-25,35222
comuna 2,96,2024-06-25,28909
comuna 11,89,2024-06-23,20955
comuna 5,74,2024-06-25,28249
comuna 9,11,2024-07-31,41048
comuna 10,51,2024-06-23,27809
comuna 13,13,2024-06-23,46103
comuna 7,35,2024-01-30,21104
comuna 6,38,2024-06-25,2663
comuna 12,75,2024-06-23,6899
comuna 2,33,2024-06-23,46357
comuna 14,91,2024-07-31,11906
comuna 16,14,2024-07-31,18321
comuna 5,16,2024-01-30,1936
comuna 5,89,2024-01-30,132
comuna 13,37,2024-07-31,15542
comuna 1,15,2024-01-30,16794
comuna 8,32,2024-01-30,8825
comuna 5,91,2024-01-30,29873
comuna 8,13,2024-07-31,15646
comuna 15,20,2024-07-31,12038
comuna 3,13,2024-06-25,45723
comuna 2,96,2024-07-31,16755
comuna 15,73,2024-01-30,5066
comuna 10,69,2024-06-25,24558
comuna 14,33,2024-06-25,36642
comuna 3,36,2024-06-23,32618
comuna 16,53,2024-07-31,9885
comuna 14,98,2024-06-23,43699
comuna 16,74,2024-06-25,23986
comuna 6,100,2024-01-30,40915
comuna 9,34,2024-06-23,18107
comuna 4,79,2024-07-31,26722
comuna 7,76,2024-06-25,9344
comuna 11,65,2024-01-30,46786
comuna 13,58,2024-06-23,19461
comuna 1,71,2024-07-31,17395
comuna 14,58,2024-01-30,28558
comuna 7,35,2024-01-30,19732
comuna 9,89,2024-06-23,24491
comuna 5,33,2024-07-31,15154
comuna 4,77,2024-07-31,32739
comuna 7,91,2024-01-30,21619
comuna 13,23,2024-06-23,6173
comuna 7,93,2024-07-31,21307
comuna 10,12,2024-07-31,24899
comuna 14,50,2024-07-31,43523
comuna 15,38,2024-06-25,44765
comuna 14,96,2024-06-23,22695
comuna 2,44,2024-06-25,40303
comuna 16,94,2024-01-30,47141
comuna 1,46,2024-06-23,35868
comuna 16,79,2024-06-25,13834
comuna 11,42,2024-06-25,2776
comuna 6,14,2024-06-23,28536
comuna 2,19,2024-06-25,34911
comuna 14,47,2024-01-30,23281
comuna 8,18,2024-06-25,30672
comuna 8,50,2024-06-23,10826
comuna 11,29,2024-06-23,23295
comuna 13,89,2024-06-23,47050
comuna 14,24,2024-01-30,1408
comuna 15,18,2024-06-25,17527
comuna 16,17,2024-07-31,12491
comuna 14,82,2024-07-31,23786
comuna 10,96,2024-06-23,14262
comuna 15,81,2024-06-23,763
comuna 14,33,2024-06-23,26024
comuna 11,65,2024-06-23,32333
comuna 11,74,2024-01-30,30183
comuna 16,35,2024-06-25,47538
comuna 5,67,2024-06-23,3664
comuna 1,49,2024-01-30,24088
comuna 3,13,2024-06-23,40373
comuna 8,34,2024-07-31,38117
comuna 4,64,2024-07-31,47452
comuna 7,49,2024-06-25,44734
comuna 4,13,2024-01-30,41543
comuna 14,45,2024-06-23,29670
comuna 9,41,2024-06-25,49922
comuna 1,67,2024-01-30,15406
comuna 12,47,2024-06-23,16889
comuna 1,40,2024-01-30,8277
comuna 14,68,2024-01-30,42152
comuna 4,79,2024-06-23,31842
comuna 9,17,2024-01-30,25278
comuna 15,74,2024-06-23,3673
comuna 14,24,2024-01-30,20535
comuna 12,88,2024-06-25,22641
comuna 8,47,2024-06-23,20690
comuna 16,96,2024-06-23,24573
comuna 12,95,2024-07-31,21924
comuna 12,31,2024-01-30,12886
comuna 8,40,2024-01-30,8616
comuna 5,49,2024-07-31,6468
comuna 9,65,2024-06-25,27941
comuna 15,78,2024-06-23,45762
comuna 11,42,2024-06-23,3539
comuna 14,96,2024-06-23,11264
comuna 6,57,2024-06-23,30555
comuna 9,22,2024-07-31,1245
comuna 14,55,2024-06-25,27225
comuna 1,87,2024-06-25,37705
comuna 2,89,2024-07-31,43387
comuna 10,38,2024-06-25,44662
comuna 11,63,2024-07-31,10597
comuna 4,23,2024-01-30,8588
comuna 14,20,2024-06-25,40293
comuna 1,37,2024-06-25,5059
comuna 13,29,2024-06-25,30829
comuna 8,64,2024-01-30,15811
comuna 6,33,2024-06-25,8489
comuna 3,94,2024-06-25,31144
comuna 2,75,2024-06-23,9972
comuna 8,29,2024-06-23,15856
comuna 16,11,2024-06-23,35946
comuna 3,33,2024-07-31,38660
comuna 9,36,2024-06-23,18253
comuna 16,81,2024-01-30,34082
comuna 13,47,2024-06-23,14275
comuna 5,64,2024-01-30,23608
comuna 7,20,2024-01-30,44321
comuna 9,76,2024-01-30,2037
comuna 6,34,2024-07-31,36399
comuna 13,28,2024-06-23,33524
comuna 5,27,2024-01-30,2379
comuna 11,100,2024-06-25,43379
comuna 11,21,2024-07-31,16914
comuna 4,25,2024-01-30,15487
comuna 11,86,2024-06-25,5332
comuna 1,98,2024-06-25,40325
comuna 1,80,2024-01-30,37866
comuna 12,17,2024-06-25,14973
comuna 16,63,2024-06-23,34000
comuna 16,82,2024-07-31,27253
comuna 5,27,2024-01-30,22514
comuna 10,96,2024-07-31,48366
comuna 9,26,2024-07-31,621
comuna 12,22,2024-01-30,45735
comuna 15,43,2024-06-23,14074
comuna 5,17,2024-06-23,35707
comuna 11,89,2024-06-25,17004
comuna 7,91,2024-06-23,11782
comuna 1,16,2024-01-30,32307
comuna 10,27,2024-06-25,22496
comuna 10,55,2024-06-25,12344
comuna 14,23,2024-06-23,3596
comuna 3,65,2024-06-25,23103
comuna 15,97,2024-01-30,49257
comuna 16,24,2024-07-31,10402
comuna 3,87,2024-06-23,49054
comuna 16,93,2024-06-25,29782
comuna 3,80,2024-06-25,35980
comuna 15,94,2024-06-25,34042
comuna 15,25,2024-06-23,24595
comuna 16,91,2024-06-25,8505
comuna 5,88,2024-01-30,44460
comuna 12,61,2024-06-23,43784
comuna 11,20,2024-06-23,30743
comuna 2,18,2024-06-25,18720
comuna 16,96,2024-06-23,13492
comuna 10,15,2024-07-31,33679
comuna 8,30,2024-01-30,5221
comuna 11,100,2024-06-25,18631
comuna 13,22,2024-07-31,47602
comuna 16,83,2024-06-25,27253
comuna 3,99,2024-01-30,45794
comuna 9,21,2024-06-23,16341
comuna 2,94,2024-07-31,22158
comuna 1,43,2024-07-31,71
comuna 15,55,2024-06-23,1683
comuna 13,34,2024-06-25,20562
comuna 6,44,2024-07-31,3557
comuna 7,56,2024-07-31,11043
comuna 9,17,2024-06-25,34751
comuna 10,15,2024-07-31,35507
comuna 4,54,2024-06-25,26927
comuna 10,73,2024-06-25,44758
comuna 8,39,2024-07-31,15384
comuna 2,44,2024-06-25,44820
comuna 14,36,2024-01-30,5908
comuna 9,70,2024-06-23,37968
comuna 14,20,2024-06-23,31009
comuna 14,79,2024-07-31,49804
comuna 5,90,2024-06-23,21610
comuna 9,74,2024-01-30,32140
comuna 12,53,2024-06-25,27263
comuna 12,79,2024-07-31,12245
comuna 11,55,2024-06-23,11629
comuna 6,98,2024-07-31,19552
comuna 13,39,2024-01-30,2861
comuna 6,18,2024-06-25,8904
comuna 3,92,2024-07-31,42828
comuna 15,97,2024-06-23,32611
comuna 8,27,2024-06-23,19102
comuna 5,90,2024-06-25,6185
comuna 11,53,2024-01-30,28904
comuna 11,58,2024-06-23,45466
comuna 11,74,2024-07-31,29810
comuna 16,33,2024-06-23,3189
comuna 6,70,2024-06-23,19800
comuna 13,72,2024-07-31,48189
comuna 7,61,2024-06-23,26218
comuna 14,41,2024-07-31,15408
comuna 11,46,2024-01-30,4940
comuna 4,29,2024-06-23,13121
comuna 16,89,2024-06-25,11321
comuna 4,64,2024-01-30,49030
comuna 14,27,2024-07-31,30874
comuna 1,48,2024-01-30,16958
comuna 10,92,2024-06-23,36067
comuna 15,85,2024-01-30,41318
comuna 12,65,2024-06-25,4951
comuna 8,34,2024-07-31,14454
comuna 10,99,2024-06-23,46427
comuna 2,16,2024-01-30,31455
comuna 9,36,2024-06-25,46151
comuna 7,65,2024-06-25,4324
comuna 3,25,2024-07-31,20120
comuna 3,10,2024-01-30,1450
comuna 13,65,2024-07-31,22829
comuna 5,74,2024-06-23,35445
comuna 14,84,2024-06-23,10067
comuna 9,22,2024-01-30,30014
comuna 1,66,2024-06-23,3349
comuna 10,88,2024-07-31,40421
comuna 11,100,2024-01-30,15943
comuna 4,40,2024-01-30,45197
comuna 13,30,2024-07-31,45598
comuna 2,97,2024-07-31,24249
comuna 6,81,2024-06-23,14298
comuna 4,12,2024-01-30,44244
comuna 7,72,2024-06-23,26616
comuna 10,75,2024-06-23,15499
comuna 13,47,2024-06-23,28849
comuna 7,83,2024-06-25,14434
comuna 12,76,2024-01-30,11620
comuna 1,97,2024-01-30,5335
comuna 16,12,2024-06-23,6666
comuna 14,26,2024-06-25,10193
comuna 7,64,2024-06-25,23408
comuna 8,50,2024-06-25,7491
comuna 3,31,2024-01-30,599
comuna 6,21,2024-01-30,159
comuna 8,54,2024-06-23,33280
comuna 16,63,2024-07-31,22948
comuna 13,42,2024-06-23,18644
comuna 14,100,2024-07-31,21503
comuna 16,80,2024-06-23,19131
comuna 13,34,2024-07-31,11975
comuna 6,67,2024-06-23,46367
comuna 3,55,2024-06-23,41305
comuna 16,24,2024-06-25,46072
comuna 7,31,2024-07-31,22098
comuna 11,15,2024-06-23,44611
comuna 10,75,2024-07-31,40760
comuna 15,20,2024-06-23,37569
comuna 4,63,2024-01-30,31573
comuna 16,82,2024-06-25,47961
comuna 10,54,2024-06-25,8494
comuna 3,41,2024-06-25,37126
comuna 16,14,2024-07-31,19612
comuna 10,35,2024-07-31,25886
comuna 9,41,2024-06-25,25593
comuna 4,37,2024-07-31,3249
comuna 2,37,2024-06-23,39530
comuna 15,66,2024-06-25,39788
comuna 11,88,2024-06-23,16432
comuna 8,90,2024-07-31,40908
comuna 12,80,2024-01-30,3902
comuna 2,99,2024-07-31,24492
comuna 7,44,2024-07-31,4484
comuna 12,64,2024-06-23,31940
comuna 9,90,2024-06-23,40247
comuna 1,98,2024-06-23,13776
comuna 8,52,2024-06-25,33524
comuna 4,18,2024-06-25,4391
comuna 14,61,2024-07-31,9388
comuna 13,12,2024-06-23,19158
comuna 10,94,2024-01-30,33247
comuna 1,35,2024-07-31,15438
comuna 13,52,2024-06-23,37442
comuna 15,47,2024-07-31,6843
comuna 14,84,2024-06-25,48658
comuna 11,35,2024-07-31,39578
comuna 5,21,2024-06-25,39249
comuna 8,87,2024-06-25,41328
comuna 8,14,2024-06-25,13559
comuna 11,83,2024-06-23,27478
comuna 12,71,2024-06-23,20926
comuna 8,46,2024-07-31,18019
comuna 1,94,2024-01-30,13549
comuna 9,79,2024-01-30,36664
comuna 11,47,2024-06-23,14957
comuna 1,82,2024-07-31,2830
comuna 12,63,2024-06-23,7242
comuna 11,97,2024-07-31,18470
comuna 9,19,2024-06-25,22743
comuna 6,22,2024-06-25,21298
comuna 15,44,2024-01-30,15919
comuna 16,65,2024-06-25,40959
comuna 16,49,2024-07-31,20283
comuna 12,74,2024-07-31,30952
comuna 1,10,2024-07-31,18223
comuna 5,50,2024-06-25,13678
comuna 5,61,2024-06-25,29462
comuna 13,75,2024-06-25,37671
comuna 3,70,2024-01-30,27090
comuna 14,13,2024-06-23,4866
comuna 7,94,2024-06-25,48580
comuna 13,54,2024-06-23,6852
comuna 5,37,2024-06-23,19728
comuna 6,22,2024-07-31,19156
comuna 2,11,2024-06-23,27491
comuna 5,71,2024-07-31,15191
comuna 3,71,2024-07-31,49099
comuna 11,13,2024-01-30,13985
comuna 5,41,2024-06-25,6728
comuna 15,31,2024-06-23,28871
comuna 2,27,2024-06-25,28525
comuna 7,34,2024-01-30,44841
comuna 3,74,2024-06-25,41884
comuna 6,71,2024-07-31,1168
comuna 16,10,2024-01-30,14875
comuna 10,14,2024-06-23,1318
comuna 1,59,2024-07-31,33995
comuna 7,95,2024-06-25,40706
comuna 4,96,2024-01-30,22674
comuna 6,34,2024-01-30,36892
comuna 14,14,2024-06-23,8688
comuna 12,12,2024-06-25,4021
comuna 2,35,2024-01-30,20442
comuna 4,13,2024-06-23,40407
comuna 3,85,2024-01-30,44287
comuna 4,83,2024-06-25,25843
comuna 7,14,2024-06-25,20921
comuna 2,49,2024-06-25,39869
comuna 16,50,2024-06-25,20396
comuna 12,84,2024-07-31,45056
comuna 15,99,2024-06-25,42346
comuna 6,72,2024-07-31,30120
comuna 12,10,2024-07-31,9240
comuna 3,89,2024-01-30,40147
comuna 15,68,2024-07-31,41645
comuna 16,67,2024-06-25,33538
comuna 8,89,2024-06-23,32230
comuna 11,67,2024-01-30,1156
comuna 13,69,2024-06-25,8296
comuna 3,25,2024-06-23,38271
comuna 14,60,2024-06-25,3320
comuna 9,39,2024-06-25,2607
comuna 7,43,2024-06-25,13325
comuna 1,72,2024-01-30,16213
comuna 16,68,2024-07-31,11960
comuna 1,28,2024-07-31,46253
comuna 12,61,2024-06-25,6
comuna 10,55,2024-01-30,8547
comuna 15,69,2024-06-25,49537
comuna 9,58,2024-01-30,30996
comuna 8,84,2024-06-25,4920
comuna 10,57,2024-06-25,21212
comuna 16,20,2024-07-31,9567
comuna 15,42,2024-07-31,9247
comuna 13,78,2024-06-23,12022
comuna 9,39,2024-06-25,35536
comuna 2,73,2024-06-25,38481
comuna 9,77,2024-06-23,20526
comuna 1,27,2024-06-25,39026
comuna 9,30,2024-01-30,35962
comuna 11,62,2024-01-30,28460
comuna 12,47,2024-07-31,19340
comuna 3,76,2024-07-31,45581
comuna 10,12,2024-01-30,7094
comuna 7,67,2024-06-23,13134
comuna 16,10,2024-06-25,23761
comuna 15,20,2024-06-25,47693
comuna 6,24,2024-07-31,11362
comuna 1,11,2024-06-25,9202
comuna 8,95,2024-06-25,6727
comuna 1,13,2024-07-31,37656
comuna 1,74,2024-07-31,46471
comuna 1,52,2024-01-30,25216
comuna 8,21,2024-01-30,16691
comuna 8,39,2024-06-25,23308
comuna 8,65,2024-06-23,31163
comuna 11,33,2024-06-25,7150
comuna 3,30,2024-01-30,48808
comuna 15,91,2024-01-30,30515
comuna 6,50,2024-01-30,24658
comuna 5,93,2024-06-23,36994
comuna 16,82,2024-07-31,33775
comuna 11,47,2024-06-23,8653
comuna 2,28,2024-01-30,3227
comuna 11,72,2024-06-23,6507
comuna 6,32,2024-06-23,15859
comuna 5,32,2024-06-25,30138
comuna 8,98,2024-01-30,157
comuna 8,99,2024-06-25,17170
comuna 1,67,2024-01-30,793
comuna 15,30,2024-06-23,38600
comuna 12,77,2024-06-23,46633
comuna 16,63,2024-06-23,15601
comuna 9,13,2024-07-31,24352
comuna 5,50,2024-01-30,9783
comuna 16,77,2024-07-31,9295
comuna 13,80,2024-07-31,37149
comuna 9,64,2024-06-25,7312
comuna 14,33,2024-01-30,19614
comuna 13,51,2024-06-23,47027
comuna 5,52,2024-07-31,34929
comuna 7,59,2024-01-30,10372
comuna 1,11,2024-06-25,21488
comuna 15,48,2024-06-25,30297
comuna 2,80,2024-06-23,12196
comuna 6,14,2024-06-23,24920
comuna 11,65,2024-06-25,8257
comuna 10,76,2024-06-23,44723
comuna 13,15,2024-06-23,1866
comuna 7,20,2024-07-31,14183
comuna 9,67,2024-06-25,13813
comuna 10,72,2024-07-31,9147
comuna 1,100,2024-06-23,25520
comuna 7,99,2024-06-23,23596
comuna 15,12,2024-01-30,37624
comuna 3,25,2024-07-31,29978
comuna 14,11,2024-06-25,26888
comuna 1,39,2024-06-25,44690
comuna 4,27,2024-07-31,32826
comuna 10,65,2024-06-23,42865
comuna 5,92,2024-06-23,8916
comuna 9,13,2024-06-23,30272
comuna 11,57,2024-01-30,20023
comuna 6,12,2024-01-30,20730
comuna 16,89,2024-07-31,275
comuna 9,21,2024-06-25,8400
comuna 16,59,2024-01-30,33672
comuna 9,55,2024-06-25,12597
comuna 2,47,2024-07-31,32712
comuna 5,58,2024-06-25,46004
comuna 13,84,2024-07-31,30455
comuna 2,64,2024-06-23,48010
comuna 12,87,2024-01-30,44982
comuna 3,15,2024-06-23,37399
comuna 5,42,2024-01-30,15488
comuna 3,70,2024-01-30,31437
comuna 4,35,2024-06-25,4180
comuna 12,91,2024-07-31,49974
comuna 5,84,2024-06-23,45980
comuna 16,88,2024-06-23,14705
comuna 4,85,2024-01-30,47849
comuna 6,87,2024-06-25,21740
comuna 9,70,2024-06-23,645
comuna 2,95,2024-06-23,16234
comuna 1,69,2024-07-31,32982
comuna 4,44,2024-06-23,17577
comuna 7,74,2024-06-23,29041
comuna 15,25,2024-07-31,44769
comuna 4,84,2024-06-25,25689
comuna 3,17,2024-07-31,16905
comuna 5,76,2024-01-30,20536
comuna 9,65,2024-01-30,37911
comuna 2,32,2024-07-31,3009
comuna 7,61,2024-07-31,39631
comuna 9,81,2024-06-25,8312
comuna 9,93,2024-06-25,3179
comuna 7,80,2024-07-31,28640
comuna 14,61,2024-01-30,32718
comuna 2,84,2024-06-25,46608
comuna 4,13,2024-06-23,46491
comuna 8,84,2024-07-31,34558
comuna 16,72,2024-01-30,18319
comuna 8,83,2024-06-23,36195
comuna 8,16,2024-06-23,13351
comuna 4,67,2024-07-31,27724
comuna 6,31,2024-07-31,40603
comuna 16,49,2024-06-25,43593
comuna 13,66,2024-07-31,22764
comuna 6,32,2024-01-30,19525
comuna 8,35,2024-06-23,4062
comuna 12,99,2024-06-25,48037
comuna 4,92,2024-06-25,28904
comuna 4,63,2024-07-31,28051
comuna 2,41,2024-01-30,49881
comuna 3,45,2024-06-25,17068
comuna 1,59,2024-07-31,29559
comuna 3,62,2024-01-30,11707
comuna 10,85,2024-07-31,40504
comuna 5,47,2024-01-30,43725
comuna 11,11,2024-07-31,46661
comuna 15,36,2024-06-23,44242
comuna 5,69,2024-07-31,40824
comuna 9,72,2024-01-30,11494
comuna 12,22,2024-07-31,11245
comuna 5,78,2024-06-23,4325
comuna 8,33,2024-06-23,40997
comuna 15,65,2024-07-31,35393
comuna 10,88,2024-01-30,1403
comuna 4,55,2024-01-30,48595
comuna 7,95,2024-07-31,48909
comuna 3,99,2024-07-31,33203
comuna 4,44,2024-06-23,49635
comuna 9,11,2024-07-31,10090
comuna 15,51,2024-07-31,24088
comuna 10,22,2024-06-25,13789
comuna 2,10,2024-06-23,23110
comuna 9,98,2024-06-25,30373
comuna 3,71,2024-06-23,25055
comuna 5,42,2024-06-25,36222
comuna 7,96,2024-01-30,29870
comuna 15,51,2024-07-31,33496
comuna 14,26,2024-07-31,35248
comuna 2,73,2024-06-25,34155
comuna 5,57,2024-06-23,48794
comuna 7,72,2024-06-23,2520
comuna 13,43,2024-06-25,45466
comuna 12,18,2024-01-30,42254
comuna 10,56,2024-06-23,18714
comuna 9,49,2024-06-25,14298
comuna 14,59,2024-07-31,22780
comuna 9,44,2024-01-30,1916
comuna 5,42,2024-01-30,15257
comuna 13,44,2024-07-31,35783
comuna 3,34,2024-06-23,27170
comuna 12,22,2024-07-31,29877
comuna 8,39,2024-01-30,35449
comuna 14,87,2024-01-30,33113
comuna 11,90,2024-06-23,1628
comuna 15,42,2024-06-25,22567
comuna 1,79,2024-01-30,1381
comuna 13,63,2024-06-25,32032
comuna 10,91,2024-06-25,45981
comuna 6,40,2024-01-30,12572
comuna 6,88,2024-06-23,8635
comuna 2,81,2024-06-23,36057
comuna 4,74,2024-06-23,18511
comuna 2,25,2024-06-25,23869
comuna 7,94,2024-06-25,35145
comuna 9,71,2024-06-23,16861
comuna 16,36,2024-06-23,40548
comuna 10,28,2024-06-25,26317
comuna 11,96,2024-06-25,25537
comuna 11,68,2024-01-30,47801
comuna 7,38,2024-06-25,35509
comuna 2,86,2024-07-31,48889
comuna 7,70,2024-06-25,34168
comuna 11,86,2024-06-25,7176
comuna 1,50,2024-06-25,35356
comuna 11,51,2024-01-30,11789
comuna 10,38,2024-06-23,25504
comuna 4,60,2024-06-23,49414
comuna 4,38,2024-06-23,36901
comuna 14,91,2024-06-23,4926
comuna 9,17,2024-06-25,26613
comuna 15,60,2024-06-25,22860
comuna 3,78,2024-01-30,48965
comuna 15,35,2024-01-30,23595
comuna 13,17,2024-01-30,6397
comuna 13,12,2024-01-30,12605
comuna 8,55,2024-06-25,43438
comuna 3,52,2024-07-31,8898
comuna 12,80,2024-06-23,10752
comuna 11,67,2024-06-25,11795
comuna 2,80,2024-06-25,40192
comuna 1,69,2024-07-31,46110
comuna 4,95,2024-06-23,11239
comuna 2,79,2024-01-30,22215
comuna 12,67,2024-06-23,35339
comuna 2,95,2024-07-31,5527
comuna 6,94,2024-06-25,44118
comuna 4,68,2024-06-23,27395
comuna 10,59,2024-06-23,29403
comuna 13,64,2024-06-23,12246
comuna 13,27,2024-06-23,11027
comuna 2,84,2024-07-31,20740
comuna 16,66,2024-06-25,42527
comuna 6,28,2024-06-23,15554
comuna 8,52,2024-06-23,23275
comuna 15,96,2024-01-30,31023
comuna 2,58,2024-07-31,24055
comuna 5,33,2024-06-23,14632
comuna 14,11,2024-06-23,5233
comuna 15,17,2024-06-23,245
comuna 8,71,2024-01-30,23888
comuna 7,39,2024-01-30,38252
comuna 10,49,2024-07-31,8012
comuna 7,11,2024-01-30,16052
comuna 10,54,2024-06-23,28928
comuna 4,22,2024-06-23,48393
comuna 8,16,2024-06-25,5334
comuna 3,88,2024-06-25,36369
comuna 12,61,2024-07-31,26524
comuna 15,26,2024-01-30,38292
comuna 14,15,2024-06-23,23652
comuna 9,71,2024-06-23,16026
comuna 9,40,2024-01-30,41940
comuna 12,53,2024-01-30,28632
comuna 14,64,2024-01-30,27028
comuna 7,50,2024-01-30,3093
comuna 9,75,2024-01-30,40700
comuna 5,25,2024-01-30,13840
comuna 9,76,2024-06-23,38997
comuna 11,94,2024-07-31,28301
comuna 6,43,2024-06-23,31846
comuna 13,95,2024-07-31,49371
comuna 10,62,2024-06-23,34400
comuna 10,33,2024-01-30,7158
comuna 16,69,2024-06-23,34847
comuna 9,67,2024-01-30,4605
comuna 6,75,2024-06-23,200
comuna 2,83,2024-01-30,44000
comuna 7,21,2024-01-30,15288
comuna 1,42,2024-06-23,46028
comuna 12,92,2024-06-25,4816
comuna 4,16,2024-06-23,6398
comuna 1,18,2024-06-23,31094
comuna 1,64,2024-01-30,12487
comuna 6,94,2024-01-30,7934
comuna 5,18,2024-06-25,28090
comuna 2,13,2024-06-25,32819
comuna 10,49,2024-06-23,22765
comuna 1,35,2024-06-23,19856
comuna 9,52,2024-06-25,39239
comuna 14,65,2024-07-31,9482
comuna 11,71,2024-01-30,41281
comuna 15,78,2024-06-25,10010
comuna 8,20,2024-06-23,8207
comuna 12,71,2024-07-31,22217
comuna 3,75,2024-06-23,13254
comuna 15,88,2024-01-30,24551
comuna 10,56,2024-06-25,26845
comuna 1,56,2024-07-31,41742
comuna 5,90,2024-06-25,24721
comuna 7,25,2024-07-31,534
comuna 14,39,2024-06-23,2761
comuna 16,81,2024-06-25,9711
comuna 14,60,2024-06-23,18852
comuna 1,77,2024-06-23,42455
comuna 6,28,2024-06-25,49713
comuna 8,89,2024-07-31,15687
comuna 8,37,2024-06-23,12940
comuna 7,11,2024-07-31,44363
comuna 14,84,2024-06-25,48642
comuna 16,36,2024-06-23,39810
